,text,category,polarity
4569,I go back in line like three times on average until I can't walk anymore.,miscellaneous,neutral
425,Just ignore the trendy wannabes.,anecdotes,negative
328,My friends and I were on vacation in NY and was referred to Chance by a friend.,anecdotes,neutral
2876,Try it side by side and there's no comparison.,anecdotes,positive
850,"The ambience was nice, but service wasn't so great.",ambience,positive
2640,I highly recommend visiting this restaurant and having dinner and drinks!,miscellaneous,positive
4471,"Grilled whole fish wonderful, great spicing.",food,positive
4826,When we walked in it seemed like it was there for 200 years.,miscellaneous,neutral
321,I went there in late afternoon for some bite size food and refleshment with my date.,miscellaneous,neutral
1759,I couldn't reccommend their Godmother pizza any higher.,food,positive
3029,"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",food,positive
686,"Read all the other review, they'll confirm it.",anecdotes,neutral
2025,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",food,negative
2825,"Also, because it is so thin, it gets cold very quickly and its not that filling.",food,negative
3764,"Bravo, Blue Hill!",miscellaneous,positive
4342,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,service,positive
4334,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",service,negative
4139,I had to ask her three times before she finally came back with the dish Ive requested.,service,negative
4124,I went there for lunch and it was not as good as I expected from the reviews I read.,miscellaneous,negative
4172,I came into the city to try out this restaurant because a friend had recommended it to my husband.,anecdotes,neutral
445,Walk-ins are risky too.,anecdotes,negative
4141,Taxan delicious!,food,positive
74,I have been to Roth's twice and both times were very disappointing.,anecdotes,negative
1913,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",ambience,conflict
2186,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",food,negative
169,"The wait staff is friendly, and the food has gotten better and better!",food,positive
4802,After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.,miscellaneous,positive
4034,Stumbled upon this gem of a pizza place and I will be going back frequently.,anecdotes,positive
1014,Guess the 555Soul ads didn't launch her big modeling career.,anecdotes,neutral
1394,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,service,negative
3655,Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,price,positive
4120,i would just ask for no oil next time.,miscellaneous,neutral
2819,"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait.",ambience,negative
2691,The one on the east side is much better than the one on the west side.,anecdotes,neutral
2104,The food was good too.,food,positive
2331,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,positive
4537,"If you live in Upper Manhattan, Siam Square is THE place for Thia food.",miscellaneous,positive
249,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,miscellaneous,neutral
2648,The food was good.,food,positive
3415,I plan on stopping by next week as well.,miscellaneous,positive
3085,Everyone was more then happy with his choices.,service,positive
3995,The price very reasonable.,price,positive
3220,A little pricey but it really hits the spot on a Sunday morning!,miscellaneous,positive
1900,I highly recommend it.,anecdotes,positive
1103,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",food,positive
269,The food always tastes fresh and served promptly.,food,positive
2930,We went to Ino for Valentines.,miscellaneous,neutral
118,"Great food, good size menu, great service and an unpretensious setting.",food,positive
4578,I DO NOT RECOMMEND THE HEARTLAND BREWERY.,miscellaneous,negative
2913,Went last Thursday.,miscellaneous,neutral
613,"It's true, this place is not cheap.",price,negative
4693,I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,miscellaneous,positive
1754,Katz's deli is a great NY experience.,anecdotes,positive
4759,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,miscellaneous,neutral
2357,so i thought why not change it up a bit.,miscellaneous,neutral
1807,"Great food, great prices, great service.",food,positive
1993,Go with a group of friends and you will have a great time.,anecdotes,positive
3109,The tuna and wasabe potatoes are excellent.,food,positive
1841,"Compared to other shabu restaurants around town, this places wins hands-down.",miscellaneous,positive
2764,Will absolutely visit again.,miscellaneous,positive
3300,"Its not curry in a slurry crap, and regular run of the mill food.",food,neutral
3012,Acceptable prices.,price,positive
1621,They pray to their Food Gods to make them into a good pizza like VT's.,food,conflict
3225,As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.,miscellaneous,positive
160,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,miscellaneous,positive
808,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",price,positive
489,At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,miscellaneous,neutral
4090,You guys are awesome!,anecdotes,positive
1267,"Our waitress was sweet and accomodating, not overbearing.",service,positive
827,Baluchi's has solid food and a nice decor at reasonable prices.,ambience,positive
2780,The specials are usually quite good too.,food,positive
2155,The food has been consistant for years and it never lets you down.,food,positive
176,This place is so much fun.,miscellaneous,positive
3428,They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,price,negative
1494,"the food was undercooked-the sauce watery, and the vegetables raw.",food,negative
682,"By the time we were done, it was past 1:00am.",anecdotes,neutral
3536,THE MOST FUN RESTAURANT I HAVE EVER BEEN TOO!,miscellaneous,positive
1191,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative
670,This tiny Williamsburg spot is always pleasantly surprising.,anecdotes,positive
4717,I'm just reading some of these reviews and its nonsense that people are reviewing some places because it was too loud.,miscellaneous,neutral
4753,"When you enter, you feel like you have entered your mom's kitchen.",ambience,positive
2056,We were a group of 8 and well seved.,service,positive
2335,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",food,positive
4206,I'm not sure why these other reviewers are whining so much.,miscellaneous,neutral
1722,get over it!,miscellaneous,neutral
857,"otherwise, good stuff for late nite eats.",food,positive
1032,"But, they were too big for the bun.",food,negative
139,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,service,positive
2687,"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.",miscellaneous,negative
3927,But I just would like to say I read the reviews people left and thats why I checked it out.,anecdotes,neutral
1135,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,anecdotes,positive
2181,Went for a late weekday lunch.,anecdotes,neutral
484,"Went there last night for 2 year anniversery, and wasn't all that impressed.",anecdotes,negative
4765,"In fact, it appears he is going to go postal at any moment.",service,negative
2164,sometimes i get good food and ok service.,service,neutral
4065,I had a grat time at Jekyll and Hyde!,anecdotes,positive
4538,Decor is charming.,ambience,positive
1579,"Friendly and informative staff, very attentive and prompt raw bar service.",service,positive
2837,"The service was a bit slow, but they were very friendly.",service,conflict
4561,"If just to drop in, quickly stuff yourself and jet out -- to keep their turn-over.",anecdotes,negative
2676,"For asian fusion, there are many places further downtown.",anecdotes,neutral
4256,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,ambience,negative
3767,My friends and I came across this place while walking in the village.,anecdotes,neutral
4763,"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night.",anecdotes,neutral
2018,But I'd go back,miscellaneous,positive
3783,delicious simple food in nice outdoor atmosphere.,food,positive
3057,Total hipster-wannabe attitude in an otherwise sweet spot.,service,negative
4399,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,miscellaneous,conflict
3019,"As I made the title, it's an affordable restaurant for great taste.",food,positive
4490,"I found the food, service and value exceptional everytime I have been there.",service,positive
1520,I lOVE THIS PLACE!,anecdotes,positive
1315,And the Tom Kha soup was pathetic.,food,negative
1243,Nicky the Nose at the bar is a treat.,service,positive
604,"The food was terrific and the service classy, attentive, without being overbearing.",service,positive
2779,"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.",service,negative
567,I recommend getting a reservation even though we saw people seated without one.,miscellaneous,neutral
555,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",anecdotes,positive
889,"delicious bagels, especially when right out of the oven.",food,positive
4374,There's something smooth about sipping sake upper east side style.,anecdotes,positive
806,For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,price,negative
704,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",price,negative
2248,Once for dinner and once for brunch.,miscellaneous,neutral
4735,We got in line and were served while in line a bannan fritter.,miscellaneous,neutral
2049,There are many Thai places in the city but so far Toons is #1.,anecdotes,positive
2606,I had the duck breast special on my last visit and it was incredible.,food,positive
2831,I've been here twice now.,anecdotes,neutral
2154,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",ambience,positive
1603,"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",miscellaneous,positive
1322,We thought this a prelude to what the evening will be like.,miscellaneous,neutral
117,I liked the beer selection!,food,positive
4468,"great eats, good times.",food,positive
350,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,anecdotes,neutral
186,Went inside and I started to get excited.,miscellaneous,positive
47,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
3495,"This is the Cheers of New York, whether you've ever been there or not.",miscellaneous,neutral
2479,"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",anecdotes,positive
3643,I can't wait to go back.,anecdotes,positive
1443,Really.,miscellaneous,neutral
4478,I will go back to Suan soon!,anecdotes,positive
3538,Some of the finest latin women you'll see in your life hang out at Jimmy's.,ambience,positive
2457,"The food is expensive, but worth every bite.",food,positive
948,It's definately not a place to go if you want to impress someone.,miscellaneous,negative
2791,We visited Orsay during NY Restaurant Week and tried their $35 menu.,anecdotes,neutral
4125,I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.,anecdotes,neutral
884,Me and my girls will definitely go back.,anecdotes,positive
3313,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,price,conflict
4642,All in all the food was above average and I would return to see how they operate with four or less dinners.,food,positive
521,"If that's a problem, go to McDonald's and destroy your insides.",miscellaneous,negative
741,"good music, great food, speedy service affordable prices.",price,positive
1833,This is one of our all-time favorite.,miscellaneous,positive
4615,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.",ambience,positive
778,A++   The service was good to excellent along with the attitude.,service,positive
2559,"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.",anecdotes,neutral
1791,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",ambience,positive
1954,The exotic food is beautifully presented and is a delight in delicious combinations.,food,positive
1618,Delivery service is great too.,service,positive
1151,We got most of it back at home with us.,miscellaneous,neutral
4698,This is a true gem of the village.,anecdotes,positive
4791,Visited there while on vacation and reading the reviews.,miscellaneous,neutral
1986,People dress in suits or evening gowns as well as shirts jeans.,ambience,neutral
4341,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,food,positive
4571,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,price,positive
523,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,price,positive
3860,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",miscellaneous,negative
434,Finally!,miscellaneous,positive
1920,The wine list is interesting and has many good values.,food,positive
3786,I will definetly be going back.,miscellaneous,positive
4070,"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.",miscellaneous,conflict
3612,I was wrong.,miscellaneous,negative
645,"David, Daytona Beach, FL",miscellaneous,neutral
3511,"But, hey, there is anything better with a decent vegetarian selection in Astoria.",anecdotes,neutral
2468,We did have to wait at the bar for approx.,service,negative
1693,"Not only is the cuisine the best around, the service has always been attentive and charming.",service,positive
1420,"I found it on a cold night, the perfect spot to warm up.",ambience,positive
782,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",ambience,conflict
2230,The location is perfect.,ambience,positive
1950,A must for all the Dosa lovers.,food,positive
812,The setting is casual and romantic.,ambience,positive
2783,That's good and bad.,anecdotes,conflict
3802,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,service,positive
2603,We would return to this place again!,anecdotes,positive
2575,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",food,positive
728,"The Dim Sum was so-so, but not spectacular.",food,neutral
1218,We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,anecdotes,neutral
2093,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",price,negative
1863,Made my dining experience uncomfortable.,anecdotes,negative
1819,"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.",anecdotes,neutral
2643,I agree.,anecdotes,neutral
3120,"Good crowd, good outdoor seating, with a hip japanese vibe.",ambience,positive
506,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",ambience,positive
2599,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,food,positive
3632,"His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.",ambience,positive
2844,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",ambience,positive
3858,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",service,negative
2967,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.",ambience,positive
2209,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.",service,negative
1001,Overall I would recommend it and go back again.,miscellaneous,positive
875,Diner food at bistro prices is a bummer....,price,negative
804,"Also good for client lunch meetings, esp.",anecdotes,positive
1834,In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,service,negative
488,At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,anecdotes,neutral
44,It was pretty inexpensive too.,price,positive
2139,"In the evening, this place attracted a well dressed, with it, NY crowd.",anecdotes,neutral
1531,This is my first time writing a review for a restaurant because the food and service was excellent.,service,positive
3609,What generous portions!,food,positive
4096,I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,food,positive
511,Gigino's in Wagner Park is so enjoyable.,miscellaneous,positive
4354,They never came back to refill our glasses again.,service,negative
2118,"Great food, great lay out and awesome service.",food,positive
1227,The prices were fantastic.,price,positive
1027,This is my favorite Italian restaurant in all of New York City.,anecdotes,positive
3637,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",miscellaneous,neutral
691,Fish was overdone.,food,negative
1401,We were treated with attitude ever since the moment we stepped into the restaurant!,service,negative
2519,it's the only place you can get yummy authentic japanese comfort food.,food,positive
2095,"This is definitely a place that provides the best experience, though, to both A-listers and people walking in off the street.",miscellaneous,positive
4657,Veal Parmigana - Better than Patsy's!,food,positive
202,but overall i give it a 10,miscellaneous,positive
19,He has visited Thailand and is quite expert on the cuisine.,food,positive
1281,It is not worth for that bucks.,price,negative
1589,"they were dry and disgusting, i didn't even finish my first piece.",food,negative
2156,I found the variety of the sashimi plate to be satisfying - fresh and yummy.,food,positive
929,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",anecdotes,positive
1505,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",service,positive
4570,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,food,positive
2818,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,ambience,positive
1757,Check it out.,miscellaneous,positive
1030,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,food,positive
3035,I loved it.,anecdotes,positive
292,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
1333,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive
3214,"Also, if you don't want to sit at a certain table, you don't have to!",miscellaneous,neutral
3222,I've been living in the Columbia University area for about 10 years with 3 kids - now in their teens.,miscellaneous,neutral
4588,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",food,positive
514,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,miscellaneous,positive
4757,I've had pizza both times and the caprese salad appetizer.,miscellaneous,neutral
915,Why make a reservation if you aren't going to keep it?,service,negative
699,also make sure you pay attention to the music being piped in - quite a weird selection.,ambience,neutral
3230,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",miscellaneous,positive
3560,"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.",price,positive
3333,A little crowded but they move that line really fast!,ambience,negative
4239,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",service,negative
4553,Brava La Pizza Fresca!,miscellaneous,positive
2909,"Place should also have a 1,2,3 chili rating to be more authentic...",anecdotes,neutral
4638,They need a kick out of it but until then the sushi is pretty good and the place is consistent.,food,positive
1727,"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.",food,positive
2298,"Hey, I think $2+ for a 5 block walk ain't bad.",anecdotes,neutral
4462,keep up the good work.,anecdotes,positive
1058,"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",service,negative
4410,The sushi seemed pretty fresh and was adequately proportioned.,food,positive
3904,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",miscellaneous,neutral
943,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",price,positive
886,"The first time the sushi was outstanding, the second time it was a little bland.",food,conflict
3437,highly recommended.,miscellaneous,positive
2872,"But WARNING: to all those that use this site be weary, be very weary of recommendations.",miscellaneous,negative
3500,fine dining restaurant quality.,food,positive
4632,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,food,positive
167,"The atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive
2904,"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",food,positive
2057,We were a group of 8 and well seved.,anecdotes,neutral
2450,After the review I treked into Brooklyn.,miscellaneous,neutral
406,I've eaten at many different Indian restaurants.,miscellaneous,neutral
4837,But that is highly forgivable.,anecdotes,positive
3953,"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",food,positive
4608,Unbelievable.,anecdotes,positive
2514,But too far east!,miscellaneous,negative
2920,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",food,positive
1479,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",ambience,positive
2336,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",service,positive
3811,"Worth it for a special occasion, or any time!",anecdotes,positive
4461,I have eaten there 3-4 times and the food was always good.,food,positive
2398,Just an odd group.,anecdotes,neutral
2414,The ambience is authentic and relaxing and we have always received attentive and prompt service.,service,positive
2313,Worth a visit.,miscellaneous,positive
2405,it is not consistent.,miscellaneous,negative
867,Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,miscellaneous,negative
2496,"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",service,conflict
3131,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",food,negative
1530,This is my first time writing a review for a restaurant because the food and service was excellent.,food,positive
3824,Definitely a once a year treat that I look forward to around the holidays!,miscellaneous,positive
965,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",food,positive
2679,Old school meets New world.,miscellaneous,neutral
1056,"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",service,positive
4719,Maybe tomorrow ;-),anecdotes,neutral
3125,"Good to find a restaurant where the owners have some imagination and they have actually pulled it off, like in this case.",miscellaneous,positive
4715,I went to Amma after a friend recommended it.,miscellaneous,neutral
2202,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",food,neutral
2115,The white bean brushetta to start was incredible and the pasta was phenomenal.,food,positive
2865,"Shockingly easy to throw a group dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.",miscellaneous,positive
1161,Definitely a neighborhood favorite.,anecdotes,positive
1812,Awsome Pizza especially the Margheritta slice.,food,positive
4366,I'm happy to have Nosh in the neighborhood and the food is very comforting.,miscellaneous,positive
4345,It is not a place for tourists or someone who has never dined in Bay Ridge.,anecdotes,neutral
3781,"At 6:30, we were the third party there.",anecdotes,neutral
1100,"It is the type of place to run into old friends and have a late, raucus dinner.",miscellaneous,positive
4036,I live a block away and go to Patsy's frequently.,anecdotes,neutral
2815,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",ambience,negative
1617,I was so sad to read the bad reviews this place got!,miscellaneous,negative
3607,"Same owner as the guy who owns Typhoon, which is just down the street on St. Marks and 1st Ave.",anecdotes,neutral
757,Don't be fooled by crowds of people.,miscellaneous,negative
1352,It won't break the bank but I also wouldnt come back for the food.,food,negative
2542,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers.",service,positive
3825,Service is fast and friendly.,service,positive
4622,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,ambience,positive
4474,The service was great as well.,service,positive
3073,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,positive
4106,I recommend that you try this hidden spot which will surely blowup very soon,anecdotes,positive
3997,"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.",food,positive
2036,Everything about this restaurant was special.,anecdotes,positive
3626,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,miscellaneous,positive
2897,It's great to go for a quick lunch either alone or with a friend.,miscellaneous,positive
4234,The bar has various selections and the mixed drink special is a catcher! 2 for 1's.,food,positive
4196,Owner must have coem on this website to give himself credit.,anecdotes,neutral
2659,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",ambience,positive
4289,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",food,positive
513,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,anecdotes,positive
3557,"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.",food,positive
1031,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,positive
2987,What an amazing meal and experience!,food,positive
4634,"When we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless.",service,negative
3036,I loved it.,miscellaneous,positive
4326,I cannot recommend OG more highly if I tried - check it out for yourself.,anecdotes,positive
2494,"Overall, excellent restaurant!",anecdotes,positive
1136,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,miscellaneous,positive
4593,No you're going to go back because the food was good.,miscellaneous,positive
1184,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",food,positive
399,The soup for the udon was soy sauce and water.,food,negative
3215,"Also, if you don't want to sit at a certain table, you don't have to!",service,positive
1630,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive
1844,I've been to several places for Dim Sum and this has got to be the WORST.,miscellaneous,negative
3832,My husband and I enjoyed each of the 6 taste size portions and left completely full.,food,positive
3778,My sister says it reminds her of a restaurant run by high-school students who don't know what they are doing.,anecdotes,negative
3782,"At 6:30, we were the third party there.",miscellaneous,neutral
433,Finally!,anecdotes,positive
4116,Great pizza and fantastic service.,food,positive
383,even the wine by the glass was good.,food,positive
2870,What I didn't like was how the food came right after it was ordered.,food,negative
1820,"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.",miscellaneous,neutral
4078,"This is a great place to take out-of-towners, and perfect for watching the sunset.",miscellaneous,positive
1044,The food options rule.,food,positive
206,"I have tried to make reservations, but both times, the hostess didn't have my name.",service,negative
1661,We will definitely go back.,miscellaneous,positive
3447,It will be on my to do list the next visit to NYC.,miscellaneous,positive
3820,"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",miscellaneous,neutral
4428,The service is good and the resturant is clean.,service,positive
3593,"No food snobs allowed, this place is for people who appreciate good food.",miscellaneous,neutral
145,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",miscellaneous,negative
2983,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",ambience,positive
574,One of the more authentic Shanghainese restaurants in the US definitely the best in Manhattan Chinatown.,anecdotes,positive
3736,We spent $200 in this place and left hungry and very disappointed.,anecdotes,negative
1597,"Skip Baroanda down the street (Eurotrashy, snooty and expensive) and check this place out!",miscellaneous,conflict
377,The food is great.,food,positive
1670,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",food,negative
4222,"They're also friendlier here, especially the owner, Kenny.",service,positive
201,but overall i give it a 10,anecdotes,positive
600,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,service,positive
155,Sapphire is the only Indian restaurant I go to when I'm in NYC.,miscellaneous,positive
1279,I definitely wouldn't go back.,anecdotes,negative
3796,Try sushimi cucumber roll.,food,positive
4149,Have been dozens of times and never failed to enjoy the experience.,anecdotes,positive
3416,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",food,positive
2394,A cool place to hang with your friends for a couple of healthy drinks and desserts.,food,positive
1425,"Best Italian food I ever had (and being Italian, that means alot).",food,positive
329,My friends and I were on vacation in NY and was referred to Chance by a friend.,miscellaneous,neutral
9,"Not only was the food outstanding, but the little 'perks' were great.",service,positive
927,Went here last night and had a pleasant experience.,anecdotes,positive
1332,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,food,conflict
4832,it helps if you know what to order.,miscellaneous,neutral
3028,Salads are a delicious way to begin the meal.,food,positive
1680,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,negative
3345,The food there is so good that even to order out the wait is incredible.,service,negative
1872,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",ambience,positive
847,The waitress was very patient with us and the food is phenomenal!,food,positive
3448,Nothing better than buying a snapple for $3.25 too.,price,positive
3891,IT IS WHAT MODERN CUISINE IS ALL ABOUT.,anecdotes,positive
1762,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,ambience,positive
3311,"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",food,positive
2322,"If you're looking for a great meal at a decent price, go to Del Frisco's!",food,positive
3683,"though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele.",ambience,conflict
3490,"Found service above average, but that could be because we were 13 of us.",miscellaneous,positive
903,This place was not ALL THAT!,miscellaneous,negative
4841,"When we arrived at 6:00 PM, the restaurant was practically empty.",miscellaneous,neutral
4015,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,service,positive
4157,The jukebox plays everything from Italian Opera to The Strokes.,ambience,neutral
2522,"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris.",ambience,positive
