,text,term,start,end,polarity
1391,"The service is spotty, sometimes really friendly and sometimes barely there.",service,4,11,conflict
2817,Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,course,130,136,neutral
3445,The prices are exceptionally reasonable for food of this caliber.,prices,4,10,positive
722,Friendly staff that actually lets you enjoy your meal and the company you're with.,meal,49,53,positive
1471,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,104,108,neutral
1067,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",pasta,80,85,positive
2639,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",price,66,71,positive
1409,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",dinner,92,98,neutral
1045,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,6,12,neutral
87,"Great food, good size menu, great service and an unpretensious setting.",setting,63,70,positive
2398,Good bagels and good cream cheese.,bagels,5,11,positive
1287,"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,79,83,positive
2331,The menu prices are a bit expensive for what you get in quality and portion size.,menu prices,4,15,negative
647,"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",menu,134,138,neutral
1987,The prices were CHEAP compared to the quality of service and food.,service,49,56,positive
431,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,Spider Rolls,53,65,positive
2403,Always great service!,service,13,20,positive
1634,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dishes,74,80,negative
1095,"The food is good, especially their more basic dishes, and the drinks are delicious.",drinks,62,68,positive
152,Some baby pizzas get their wish.,baby pizzas,5,16,neutral
2717,"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",food,66,70,positive
3431,"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!",atmosphere,28,38,positive
1493,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",indian appetizers,123,140,positive
2330,Downstairs lounge is always a good attraction,Downstairs lounge,0,17,positive
783,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,76,82,neutral
1281,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",quality,221,228,negative
1042,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,170,178,negative
2006,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",dish,22,26,positive
1135,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,seating,100,107,negative
3006,"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.",calamari,4,12,positive
2480,Best Pastrami I ever had and great portion without being ridiculous.,portion,35,42,positive
1585,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",dish,69,73,positive
1809,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",food,13,17,conflict
2176,For dinner I had the chicken tikka-masala and some garlic naan.,dinner,4,10,neutral
1963,we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,reservation,106,117,neutral
2430,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",roll,45,49,negative
2520,"Even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",seated,47,53,positive
135,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,67,77,positive
1055,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacos,181,186,negative
3532,The food was great and the service was even better.,service,27,34,positive
2985,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,reservation,19,30,negative
268,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,88,101,negative
3520,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",place,57,62,positive
628,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",wine list,6,15,positive
3588,Such nice people working here - but I have to review the food.,food,57,61,neutral
3557,"The burger was great, also.",burger,4,10,positive
1545,It was not above ordinary and the beef version had cheap (undercooked) beef.,beef version,34,46,negative
2078,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",pita,73,77,neutral
2062,I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.,fish,53,57,positive
837,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",Indian,154,160,positive
1390,"My turkey burger was not cooked at all, my friends salmon was completely raw.",salmon,51,57,negative
2691,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",pre-theatre or after-theatre drinks,68,103,positive
852,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,15,20,positive
1502,"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY.",AT MOSHPHERE,4,16,positive
1111,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,43,53,positive
2318,"I had the black cod with yuzu sauce, which was wonderful.",black cod with yuzu sauce,10,35,positive
487,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",ceiling,90,97,positive
748,"The food was very good, a great deal, and the place its self was great.",food,4,8,positive
2114,"$160 for 2 filets, 2 sides, an appetizer and drinks.",drinks,45,51,neutral
2896,"stick with the chicken, beef, and lamb dishes.",beef,24,28,positive
3411,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",pad thai,48,56,neutral
2414,I LOVED THE SHOWS.,SHOWS,12,17,positive
743,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",seating in the garden,54,75,neutral
3254,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,waiting area,68,80,negative
1516,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,quality,44,51,positive
2471,"Food was okay, nothing great.",Food,0,4,neutral
2046,"You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it.","currys (masaman, green, red)",43,71,positive
599,Baluchi's has solid food and a nice decor at reasonable prices.,prices,56,62,positive
899,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",mesclun,19,26,positive
3608,Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.,waiter traffic,101,115,negative
1790,Great sushi experience.,sushi,6,11,positive
3602,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",food,27,31,positive
358,"We were seated promptly as we had reservations, however after that the service was slow.",service,71,78,negative
1220,"Friendly and informative staff, very attentive and prompt raw bar service.",bar service,62,73,positive
1761,Service and food is what any one would expect when spending that type of money.,food,12,16,neutral
2628,The fish was not fresh and the rice tasted old and stale.,rice,31,35,negative
1065,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",Service,0,7,positive
342,Our food was great too!,food,4,8,positive
1355,The food is great and they have a good selecion of wines at reasonable prices.,selecion of wines,39,56,positive
196,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,50,55,negative
466,The sangria was pretty tasty and good on a hot muggy day.,sangria,4,11,positive
2692,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",spot,20,24,positive
1248,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,herbs,97,102,positive
2232,"We only ordered desserts and drinks, but no refills were offered.",drinks,29,35,neutral
1903,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",bathroom,121,129,positive
828,"Yes, the prices are high, but I felt it was worth it.",prices,9,15,conflict
3382,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,95,101,negative
1452,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.",pastrami sandwiches,97,116,neutral
1838,There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,Blue Point oysters,29,47,neutral
2622,I had a huge pastrami sandwich on a roll.,pastrami sandwich,13,30,positive
2210,I think I've had some the best meals of my life at minnow.,meals,31,36,positive
3478,"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dish,150,154,neutral
1977,now if they could only get a toaster.,toaster,29,36,negative
1908,My chow fun and chow see was really bland and oily.,chow fun and chow see,3,24,negative
3562,The pizza was great.,pizza,4,9,positive
1911,"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!",seated,91,97,positive
2022,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,dishes,66,72,positive
3548,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.",lazy susans,90,101,positive
2707,Overall a disappointing experience for that price category.,price,44,49,negative
2192,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.,food,4,8,positive
2400,"The food is wonderful, tasty and filling, and the service is professional and friendly.",food,4,8,positive
913,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,69,88,positive
83,I liked the beer selection!,beer selection,12,26,positive
1265,I always get the Shabu-Shabu dinner and the beef is always fresh.,beef,44,48,positive
1350,I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,music,163,168,negative
189,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,99,103,positive
307,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,157,162,positive
1252,The prices and ambience are especially great considering it's in the West Village.,prices,4,10,positive
2269,"For the quality of food, a little too expensive.",quality of food,8,23,negative
2333,The menu prices are a bit expensive for what you get in quality and portion size.,portion size,68,80,negative
2372,The tuna and wasabe potatoes are excellent.,wasabe potatoes,13,28,positive
3360,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",atmosphere,95,105,conflict
2564,"Their sushi, Kamikaze and other Rolls are fresh and well presented.",Rolls,32,37,positive
2223,"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",eats,96,100,positive
292,The soup for the udon was soy sauce and water.,soy sauce,26,35,neutral
3278,Seating is ok even though sometimes there's alot of people.,Seating,0,7,neutral
1130,"In an area sadly lacking in decent Thai food, this is one of the best spots.",Thai food,35,44,positive
1726,The location is perfect.,location,4,12,positive
333,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,80,88,positive
360,"It's really also the service, is good and the waiters are friendly.",waiters,46,53,positive
1682,sometimes i get good food and ok service.,food,21,25,positive
1426,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",waitresses,28,38,positive
2811,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",atmosphere,94,104,positive
1613,We were a group of 8 and well seved.,seved,30,35,positive
1641,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",waiter,31,37,negative
1430,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",food,108,112,neutral
3010,Simple comfort food and what hot and lage portions.,comfort food,7,19,positive
1280,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",choice,213,219,negative
2061,"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.",music,110,115,negative
1557,we split a tasty vegetable samosa and the malai tikka wrap.,vegetable samosa,17,33,positive
3237,"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",host,3,7,neutral
948,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,20,29,positive
3226,"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.",room,10,14,negative
1858,The banana tower is an amazing dessert as well.,banana tower,4,16,positive
2830,From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,Cakebread Cabernet,210,228,positive
2332,The menu prices are a bit expensive for what you get in quality and portion size.,quality,56,63,negative
1515,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,sushi places,122,134,positive
2037,"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",bar,51,54,neutral
1853,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",meal,63,67,neutral
1643,The dining room is quietly elegant with no music to shout over -- how refreshing!,music,43,48,positive
1993,It appears to be the owner's first venture and it shows.,owner,21,26,negative
3253,"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.",atmosphere,23,33,conflict
1806,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,waiter,31,37,positive
1665,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,feel,68,72,positive
3383,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,food,120,124,negative
3243,"If it isn't for the food (A+++), it must be the service or the ambience.",food,20,24,positive
2605,"not only does make the best pizza in NY , maybe anywhere.",pizza,28,33,positive
2677,The service was excellent and the food was delicious.,service,4,11,positive
410,"You order from a menu, so you leave feeling like you missed the full experience.",menu,17,21,negative
2797,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",decor,79,84,positive
3436,We ate at this Thai place following the reviews but very unhappy with the foods.,foods,74,79,negative
3068,I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,cuisine,49,56,positive
984,We thought that this place is using too much of MSG cooking in the foods.,MSG cooking,48,59,negative
2281,IT is the best deal in town for a Monday night dinner at a fine restaurant.,dinner,47,53,positive
3000,And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,delivery,64,72,negative
491,The establishment scores big points in presentation and style.,establishment,4,17,positive
2583,The ambience is very romantic and definitely a good place to bring a date.,ambience,4,12,positive
3223,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Sea Urchin,15,25,neutral
1841,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,noodle dishes,19,32,positive
1030,Did I mention the wine?,wine,18,22,neutral
1532,The appetizers are just OK and the main courses were decidedly subpar.,main courses,35,47,negative
3648,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,mascarpone with chocolate chips,27,58,conflict
2258,"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...",hostess,10,17,positive
1639,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",Ambiance,21,29,negative
2448,"Delicate spices, onions, eggs and a kick-ass roti.",onions,17,23,positive
2019,I had the duck breast special on my last visit and it was incredible.,duck breast special,10,29,positive
622,"The food was just OK, at least for what food was available.",food,4,8,neutral
2763,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",dinner,86,92,positive
2531,"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",pizza,93,98,positive
1340,Priced at upper intermediate range.,Priced,0,6,negative
2702,Once they ran out of Gnochi and made it for me from scratch!,Gnochi,21,27,neutral
1495,The Singapore Mai Fun had NO curry flavor whatsoever.,Singapore Mai Fun,4,21,negative
2082,"The steak is good, the fish is good and the sushi was surprisingly great.",sushi,44,49,positive
2940,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",table,85,90,negative
1389,"My turkey burger was not cooked at all, my friends salmon was completely raw.",turkey burger,3,16,negative
2381,"Good crowd, good outdoor seating, with a hip japanese vibe.",vibe,54,58,positive
1224,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,homemade lasagna,37,53,positive
2450,"Delicate spices, onions, eggs and a kick-ass roti.",roti,45,49,positive
2028,One should not go to Lucky Strike for the food.,food,42,46,negative
3683,"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",appetizers,9,19,positive
1640,The food was good too.,food,4,8,positive
2790,The wine the service was very good too.,service,13,20,positive
2497,"The staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.",staff,4,9,positive
556,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",music,4,9,conflict
436,just got back from lunch at Tamarind and it was excellent.,lunch,19,24,positive
70,This is a consistently great place to dine for lunch or dinner.,dinner,56,62,neutral
607,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,atmosphere,4,14,negative
821,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",creme brulee,115,127,positive
2887,It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,servers,16,23,negative
1041,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,128,137,negative
3189,There is actually space to breathe and the decor sets the tone for an intimate dinner.,decor,43,48,positive
2598,"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",dining experiences,86,104,positive
642,"The dinner was ok, nothing I would have again.",dinner,4,10,negative
1994,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",pizza,80,85,positive
2485,"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",dessert wine,90,102,negative
2750,"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",red curry,4,13,negative
706,This place has many different styles of pizza and they are all amazing.,styles of pizza,30,45,positive
975,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,246,252,negative
1607,Service is not what one would expect from a joint in this price category.,price category,58,72,negative
351,The sake menu should not be overlooked!,sake menu,4,13,positive
742,The bagels are fabulous.,bagels,4,10,positive
3359,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",wait service,54,66,negative
250,I love the atmorphere @ peep!,atmorphere,11,21,positive
321,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,82,89,positive
398,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",rice,135,139,neutral
2575,"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",food,91,95,neutral
1646,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,menu,4,8,positive
2724,Best drumsticks over rice and sour spicy soup in town!,sour spicy soup,30,45,positive
3201,"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",spinach,31,38,positive
2921,Try sushimi cucumber roll.,sushimi cucumber roll,4,25,positive
3211,"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",owner,78,83,positive
732,"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",place,4,9,negative
944,It's a great place to pick up a cheap lunch or dinner.,dinner,47,53,positive
2445,"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",dinners,19,26,positive
280,Decent wine at reasonable prices.,wine,7,11,positive
2212,"Most importantly, food is excellent.",food,18,22,positive
329,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,18,34,positive
3560,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,42,50,positive
2239,"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.",chicken with chili and lemon grass,63,97,positive
3340,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",portions,47,55,negative
377,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,quantity,78,86,positive
725,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,33,38,positive
3104,"We concluded with tiramisu chocolate cake, both were delicious.",tiramisu chocolate cake,18,41,positive
1505,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",service,74,81,negative
3086,"It only took about five or so minutes to get an empty table, but standing up wasn't too bad.",table,54,59,positive
2405,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken casserole,15,32,negative
3289,The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,steak dish,65,75,negative
1131,Tell them Herky sent you and get a free confused look from the waiter.,waiter,63,69,negative
1972,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,26,30,negative
2641,Ballato's is consistently delicious authentic italian food.,italian food,46,58,positive
2284,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",side,76,80,neutral
629,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",staff,31,36,positive
1040,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",texture,74,81,conflict
2788,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,cream cheese,54,66,neutral
553,A++   The service was good to excellent along with the attitude.,attitude,55,63,positive
2616,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,served,58,64,positive
2243,"The bread and lamb chops I had before the meal were quite good, however.",meal,42,46,neutral
3488,"If you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, Kai is your place.",seafood,95,102,positive
537,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",drinks,95,101,positive
2658,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",appetizer,224,233,negative
3067,It was so bad I actually refused to pay for my food.,food,47,51,negative
3352,There's something smooth about sipping sake upper east side style.,sake,39,43,positive
2563,"Their sushi, Kamikaze and other Rolls are fresh and well presented.",Kamikaze,13,21,positive
2502,"Quality ingredients preparation all around, and a very fair price for NYC.",ingredients,8,19,positive
3185,They are served with a free appetizer and the portions are perfect for lunch.,portions,46,54,positive
2915,delicious simple food in nice outdoor atmosphere.,atmosphere,38,48,positive
1835,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,spinach mushroom calzone,68,92,negative
1664,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,food,55,59,positive
810,The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,4,8,positive
2928,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,salt,81,85,negative
274,The food is great.,food,4,8,positive
1489,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",food,4,8,positive
3461,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,scallops,23,31,positive
186,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,8,19,positive
1213,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",porcini mushroom pasta special,4,34,negative
1982,"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.",ingredients,4,15,positive
917,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,0,4,positive
1494,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",bombay style chaat,36,54,positive
939,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,114,125,neutral
2044,We were also seated promptly at the time of our reservation and the service was very quick and professional.,reservation,48,59,positive
3396,I've rarely had a problem with slow staff in the 10 years I've been going.,staff,36,41,positive
1875,Great food and the prices are very reasonable.,prices,19,25,positive
950,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,117,133,neutral
2131,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,mashed potatoes,17,32,positive
2747,Won't or Can't is not in the service directory.,service,29,36,positive
2345,"The food was not fresh, the sauces were bland and very oily.",food,4,8,negative
2742,The only friendly staff member was the guy at the bar.,staff member,18,30,positive
391,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",wine,62,66,neutral
1846,Great atmoshere and worth every bit.,atmoshere,6,15,positive
3145,"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.",wine list,4,13,negative
1202,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,quality of food,45,60,positive
2196,"Similar to other Indian restaurants, they use the dinner special to attract customers at the door.",dinner special,50,64,neutral
663,Try green curry with vegetables.,green curry with vegetables,4,31,positive
2998,Jimmy's is hands down the hottest night spot in the Bronx.,spot,40,44,positive
1054,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",frying,147,153,negative
3678,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",bottle of sake,12,26,neutral
318,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,57,61,positive
530,"For some reason, all the seafood on the menu was unavailable except for the Salmon.",Salmon,76,82,neutral
3285,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",staff,4,9,positive
1235,The hot dogs were cold in the middle and the buns were stale.,hot dogs,4,12,negative
434,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",place,33,38,positive
2508,"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",entree,3,9,positive
1483,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",fish with hot bean source,27,52,positive
2653,You have to increase the service a lot.,service,25,32,negative
381,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",hollondaise sauce,99,116,negative
2603,The ambience is very calm and quiet.,ambience,4,12,positive
2517,"In fact, while leaving the place we saw two people looking at the menu, and I couldn't help telling them that the food was horrible.",food,114,118,negative
1366,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,crab cocktail,14,27,negative
